codigo_antigo,codigo_novo,prefixo_bairro,origem_prefixo
CT-1140,301140,30,posição
CT-1152,221152,22,posição
CT-1164,191164,19,posição
CT-1176,191176,19,posição
CT-1187,301187,30,posição
CT-1201,191201,19,posição
CT-1207,191207,19,posição
CT-2100,302100,30,posição
CT-2101,142101,14,posição
CT-2102,142102,14,posição
CT-2103,132103,13,posição
CT-2104,132104,13,posição
CT-2105,132105,13,posição
CT-2106,302106,30,posição
CT-2107,132107,13,posição
CT-2108,132108,13,posição
CT-2109,132109,13,posição
CT-2110,132110,13,posição
CT-2111,382111,38,posição
CT-2112,382112,38,posição
CT-2113,302113,30,posição
CT-2114,302114,30,posição
CT-2115,192115,19,posição
CT-2116,302116,30,posição
CT-2117,302117,30,posição
CT-2118,132118,13,posição
CT-2119,332119,33,posição
CT-2120,222120,22,posição
CT-2121,252121,25,posição
CT-2122,252122,25,posição
CT-2123,222123,22,posição
CT-2124,332124,33,posição
CT-2125,302125,30,posição
CT-2126,132126,13,posição
CT-2127,302127,30,posição
CT-2128,302128,30,posição
CT-2129,192129,19,posição
CT-2130,302130,30,posição
CT-2131,132131,13,posição
CT-2132,132132,13,posição
CT-2133,382133,38,posição
CT-2134,272134,27,posição
CT-2135,132135,13,posição
CT-2136,132136,13,posição
CT-2137,132137,13,posição
CT-2138,132138,13,posição
CT-2139,302139,30,posição
CT-2140,302140,30,posição
CT-2141,302141,30,posição
CT-2142,302142,30,posição
CT-2143,272143,27,posição
CT-2144,302144,30,posição
CT-2145,302145,30,posição
CT-2146,162146,16,posição
CT-2147,302147,30,posição
CT-2148,302148,30,posição
CT-2149,302149,30,posição
CT-2150,302150,30,posição
CT-2151,222151,22,posição
CT-2152,272152,27,posição
CT-2153,302153,30,posição
CT-2154,302154,30,posição
CT-2155,302155,30,posição
CT-2156,302156,30,posição
CT-2157,302157,30,posição
CT-2158,272158,27,posição
CT-2159,302159,30,posição
CT-2160,272160,27,posição
CT-2161,272161,27,posição
CT-2162,302162,30,posição
CT-2163,302163,30,posição
CT-2164,302164,30,posição
CT-2165,302165,30,posição
CT-2166,302166,30,posição
CT-2167,302167,30,posição
CT-2168,192168,19,posição
CT-2169,192169,19,posição
CT-2170,302170,30,posição
CT-2171,302171,30,posição
CT-2172,302172,30,posição
CT-2173,302173,30,posição
CT-2174,302174,30,posição
CT-2175,302175,30,posição
CT-2176,302176,30,posição
CT-2177,302177,30,posição
CT-2178,302178,30,posição
CT-2179,302179,30,posição
CT-2180,302180,30,posição
CT-2181,302181,30,posição
CT-2182,302182,30,posição
CT-2183,302183,30,posição
CT-2184,302184,30,posição
CT-2185,302185,30,posição
CT-2186,302186,30,posição
CT-2187,302187,30,posição
CT-2188,302188,30,posição
CT-2189,302189,30,posição
CT-2190,132190,13,posição
CT-2191,302191,30,posição
CT-2192,192192,19,posição
CT-2193,192193,19,posição
CT-2194,192194,19,posição
CT-2195,222195,22,posição
CT-2196,192196,19,posição
CT-2197,222197,22,posição
CT-2198,222198,22,posição
CT-2199,222199,22,posição
CT-2200,332200,33,posição
CT-2201,332201,33,posição
CT-2202,332202,33,posição
CT-2203,142203,14,posição
CT-2204,332204,33,posição
CT-2205,332205,33,posição
CT-2206,332206,33,posição
CT-2207,332207,33,posição
CT-2208,172208,17,posição
CT-2209,172209,17,posição
CT-2210,172210,17,posição
CT-2211,222211,22,posição
CT-2212,282212,28,posição
CT-2213,282213,28,posição
CT-2214,202214,20,posição
CT-2215,202215,20,posição
CT-2216,172216,17,posição
CT-2217,142217,14,posição
CT-2218,172218,17,posição
CT-2219,202219,20,posição
CT-2220,382220,38,posição
CT-2221,382221,38,posição
CT-2222,182222,18,posição
CT-2223,272223,27,posição
CT-2224,352224,35,posição
CT-2225,352225,35,posição
CT-2226,272226,27,posição
CT-2227,272227,27,posição
CT-2228,272228,27,posição
CT-2229,192229,19,posição
CT-2230,192230,19,posição
CT-2231,192231,19,posição
CT-2232,332232,33,posição
CT-2233,332233,33,posição
CT-2234,332234,33,posição
CT-2235,332235,33,posição
CT-2236,132236,13,posição
CT-2237,132237,13,posição
CT-2238,302238,30,posição
CT-2239,302239,30,posição
CT-2240,302240,30,posição
CT-2241,302241,30,posição
CT-2242,132242,13,posição
CT-2243,132243,13,posição
CT-2244,222244,22,posição
CT-2245,332245,33,posição
CT-2246,222246,22,posição
CT-2247,302247,30,posição
CT-2248,302248,30,posição
CT-2249,302249,30,posição
CT-2250,222250,22,posição
CT-2251,112251,11,posição
CT-2252,302252,30,posição
CT-2253,302253,30,posição
CT-2254,162254,16,posição
CT-2255,162255,16,posição
CT-2256,162256,16,posição
CT-2257,142257,14,posição
CT-2258,162258,16,posição
CT-2259,332259,33,posição
CT-2260,302260,30,posição
CT-2261,302261,30,posição
CT-2262,192262,19,posição
CT-2263,172263,17,posição
CT-2264,172264,17,posição
CT-2265,252265,25,posição
CT-2266,252266,25,posição
CT-2267,192267,19,posição
CT-2268,362268,36,posição
CT-2269,222269,22,posição
CT-2270,222270,22,posição
CT-2271,112271,11,posição
CT-2272,142272,14,posição
CT-2273,142273,14,posição
CT-2274,142274,14,posição
CT-2275,332275,33,posição
CT-2276,332276,33,posição
CT-2277,332277,33,posição
CT-2278,222278,22,posição
CT-2279,302279,30,posição
CT-2280,302280,30,posição
CT-2281,302281,30,posição
CT-2282,302282,30,posição
CT-2283,302283,30,posição
CT-2284,332284,33,posição
CT-2285,332285,33,posição
CT-2286,332286,33,posição
CT-2287,332287,33,posição
CT-2288,332288,33,posição
CT-2289,302289,30,posição
CT-2290,302290,30,posição
CT-2291,302291,30,posição
CT-2292,192292,19,posição
CT-2293,192293,19,posição
CT-2294,192294,19,posição
CT-2295,192295,19,posição
CT-2296,192296,19,posição
CT-2297,192297,19,posição
CT-2298,302298,30,posição
CT-2299,302299,30,posição
CT-2300,332300,33,posição
CT-2301,332301,33,posição
CT-2302,332302,33,posição
CT-2303,222303,22,posição
CT-2304,222304,22,posição
CT-2305,222305,22,posição
CT-2306,222306,22,posição
CT-2307,112307,11,posição
CT-2308,282308,28,posição
CT-2309,282309,28,posição
CT-2310,112310,11,posição
CT-2311,112311,11,posição
CT-2312,112312,11,posição
CT-2313,112313,11,posição
CT-2314,222314,22,posição
CT-2315,332315,33,posição
CT-2316,332316,33,posição
CT-2317,332317,33,posição
CT-2318,332318,33,posição
CT-2319,192319,19,posição
CT-2320,252320,25,posição
CT-2321,282321,28,posição
CT-2322,172322,17,posição
CT-2323,282323,28,posição
CT-2324,172324,17,posição
CT-2325,172325,17,posição
CT-2326,302326,30,posição
CT-2327,252327,25,posição
CT-2328,272328,27,posição
CT-2329,352329,35,posição
CT-2330,142330,14,posição
CT-2331,222331,22,posição
CT-2332,192332,19,posição
CT-2333,272333,27,posição
CT-2334,382334,38,posição
CT-2335,382335,38,posição
CT-2336,382336,38,posição
CT-2337,382337,38,posição
CT-2338,352338,35,posição
CT-2339,362339,36,posição
CT-2340,222340,22,posição
CT-2341,172341,17,posição
CT-2342,362342,36,posição
CT-2343,112343,11,posição
CT-2344,112344,11,posição
CT-2345,112345,11,posição
CT-2346,312346,31,posição
CT-2347,212347,21,posição
CT-2348,212348,21,posição
CT-2349,192349,19,posição
CT-2350,362350,36,posição
CT-2351,362351,36,posição
CT-2352,192352,19,posição
CT-2353,192353,19,posição
CT-2354,192354,19,posição
CT-2355,362355,36,posição
CT-2356,362356,36,posição
CT-2357,192357,19,posição
CT-2358,192358,19,posição
CT-2359,192359,19,posição
CT-2360,192360,19,posição
CT-2361,192361,19,posição
CT-2362,192362,19,posição
CT-2363,192363,19,posição
CT-2364,192364,19,posição
CT-2365,192365,19,posição
CT-2366,302366,30,posição
CT-2367,302367,30,posição
CT-2368,192368,19,posição
CT-2369,192369,19,posição
CT-2370,192370,19,posição
CT-2371,192371,19,posição
CT-2372,192372,19,posição
CT-2373,192373,19,posição
CT-2374,192374,19,posição
CT-2375,192375,19,posição
CT-2376,302376,30,posição
CT-2377,302377,30,posição
CT-2378,302378,30,posição
CT-2379,302379,30,posição
CT-2380,192380,19,posição
CT-2381,192381,19,posição
CT-2382,192382,19,posição
CT-2383,362383,36,posição
CT-2384,362384,36,posição
CT-2385,112385,11,posição
CT-2386,112386,11,posição
CT-2387,112387,11,posição
CT-2388,362388,36,posição
CT-2389,362389,36,posição
CT-2390,192390,19,posição
CT-2391,192391,19,posição
CT-2392,192392,19,posição
CT-2393,192393,19,posição
CT-2394,192394,19,posição
CT-2395,192395,19,posição
CT-2396,192396,19,posição
CT-2397,192397,19,posição
CT-2398,362398,36,posição
CT-2399,362399,36,posição
CT-2400,362400,36,posição
CT-2401,362401,36,posição
CT-2402,362402,36,posição
CT-2403,362403,36,posição
CT-2404,362404,36,posição
CT-2405,362405,36,posição
CT-2406,362406,36,posição
CT-2407,362407,36,posição
CT-2408,362408,36,posição
CT-2409,362409,36,posição
CT-2410,362410,36,posição
CT-2411,362411,36,posição
CT-2412,192412,19,posição
CT-2413,192413,19,posição
CT-2414,192414,19,posição
CT-2415,222415,22,posição
CT-2416,192416,19,posição
CT-2417,192417,19,posição
CT-2418,192418,19,posição
CT-2419,192419,19,posição
CT-2420,192420,19,posição
CT-2421,192421,19,posição
CT-2422,112422,11,posição
CT-2423,112423,11,posição
CT-2424,112424,11,posição
CT-2425,112425,11,posição
CT-2426,362426,36,posição
CT-2427,362427,36,posição
CT-2428,362428,36,posição
CT-2429,362429,36,posição
CT-2430,362430,36,posição
CT-2431,362431,36,posição
CT-2432,362432,36,posição
CT-2433,362433,36,posição
CT-2434,362434,36,posição
CT-2435,362435,36,posição
CT-2436,362436,36,posição
CT-2437,192437,19,posição
CT-2438,362438,36,posição
CT-2439,362439,36,posição
CT-2440,192440,19,posição
CT-2441,362441,36,posição
CT-2442,192442,19,posição
CT-2443,192443,19,posição
CT-2444,192444,19,posição
CT-2445,362445,36,posição
CT-2446,362446,36,posição
CT-2447,222447,22,posição
CT-2448,222448,22,posição
CT-2449,222449,22,posição
CT-2450,272450,27,posição
CT-2451,162451,16,posição
CT-2452,132452,13,posição
CT-2453,132453,13,posição
CT-2454,272454,27,posição
CT-2455,182455,18,posição
CT-2456,162456,16,posição
CT-2457,162457,16,posição
CT-2458,272458,27,posição
CT-2459,272459,27,posição
CT-2460,272460,27,posição
CT-2461,272461,27,posição
CT-2462,272462,27,posição
CT-2463,272463,27,posição
CT-2464,272464,27,posição
CT-2465,132465,13,posição
CT-2466,302466,30,posição
CT-2467,272467,27,posição
CT-2468,302468,30,posição
CT-2469,162469,16,posição
CT-2470,162470,16,posição
